#S 2  zapline mono 16.3912 14.118 2709 100 
#D Wed Sep 25 11:09:41 2024
energy_offset(keV) muT mon_2 ion_1_1
7.01063 -0.27129665889788057 22455.1 29453.5
7.01113 -0.27166291287793015 22438.6 29442.7
7.01163 -0.27200681417335015 22458.3 29478.7
7.01213 -0.27216499689547535 22454.6 29478.5
7.01263 -0.27295615372096005 22443.3 29487.0
7.01313 -0.27348735678964875 22447.1 29507.6
7.01363 -0.27442080739237845 22441.9 29528.4
7.01413 -0.274917562009641 22447.7 29550.7
7.01463 -0.27526885254483574 22445.3 29557.9
7.01513 -0.27529375729135874 22457.7 29575.0
7.01563 -0.2759799725820565 22457.7 29595.3
7.01613 -0.27634843424415434 22470.2 29622.6
7.01663 -0.2769926779867361 22461.7 29630.5
7.01713 -0.2774367395943508 22451.8 29630.6
7.01763 -0.27789349260656654 22449.9 29641.7
7.01813 -0.27822702946102973 22467.4 29674.7
7.01863 -0.2785293699802238 22481.8 29702.7
7.01913 -0.27928049228849017 22455.5 29690.2
7.01963 -0.2797375126947693 22462.7 29713.3
7.02013 -0.2804624642004538 22465.1 29738.0
7.02063 -0.2808428945862384 22469.0 29754.5
7.02113 -0.2809687786883146 22464.6 29752.3
7.02163 -0.28156027360091734 22464.8 29770.3
7.02213 -0.282348488435278 22465.0 29794.0
7.02263 -0.28244305892074895 22465.6 29797.6
7.02313 -0.2828738880807936 22471.7 29818.5
7.02363 -0.2834074674033909 22476.4 29840.7
7.02413 -0.2841292050962845 22478.4 29864.9
7.02463 -0.28433771190089197 22488.3 29884.3
7.02513 -0.2848455516944592 22493.9 29906.9
7.02563 -0.28556869360269277 22464.1 29889.0
7.02613 -0.28575621361423864 22479.1 29914.5
7.02663 -0.28602582407504346 22485.0 29930.4
7.02713 -0.28636658364941536 22479.1 29932.8
7.02763 -0.2866167840845528 22471.6 29930.2
7.02813 -0.28747323996194407 22481.6 29969.2
7.02863 -0.2876495610968673 22486.8 29981.4
7.02913 -0.288194265961662 22482.8 29992.4
7.02963 -0.28872001908841455 22483.5 30009.1
7.03013 -0.28903314729198826 22492.9 30031.0
7.03063 -0.2892876007307142 22490.4 30035.4
7.03113 -0.28995320728176127 22491.9 30057.4
7.03163 -0.2905896573487121 22484.0 30066.0
7.03213 -0.2906421020739545 22487.8 30072.6
7.03263 -0.291427614193778 22491.1 30100.6
7.03313 -0.2916021339863617 22493.1 30108.7
7.03363 -0.2920856354231299 22490.0 30119.0
7.03413 -0.2923249072460478 22491.1 30127.6
7.03463 -0.2927102905187976 22506.6 30160.0
7.03513 -0.29366537130949577 22499.3 30179.1
7.03563 -0.29419837059268905 22502.1 30199.0
